char,division,code,division_tw,code_tw,region
𥓕,石爪壬,uvc,石爪壬,uvc,CJK-B
𥓖,石日木,ujf,石日木,ujf,CJK-B
𥓗,石厶二,ukp,石厶二,ukp,CJK-B
𥓘,石日,ujs,石日,ujs,CJK-B
𥓙,木木石,ffu,木木石,ffu,CJK-B
𥓚,石虎,uku,石虎,uku,CJK-B
𥓛,石戈幺,upu,石戈幺,upu,CJK-B
𥓜,石來,uej,石來,uej,CJK-B
𥓝,石木日,ufj,石木日,ufj,CJK-B
𥓞,石乛凵,uvx,石乛凵,uvx,CJK-B
𥓟,石匚巾,ukr,石匚巾,ukr,CJK-B
𥓠,石一人,ufr,石一人,ufr,CJK-B
𥓡,石尚,uki,石尚,uki,CJK-B
𥓢,石止龰,utt,石止龰,utt,CJK-B
𥓣,石日儿,ujq,石日儿,ujq,CJK-B
𥓤,石山巳,uja,石山巳,uja,CJK-B
𥓥,石日日,ujj,石日日,ujj,CJK-B
𥓦,石臼㇉,uhe,石臼㇉,uhe,CJK-B
𥓧,牛牛石,ttu,牛牛石,ttu,CJK-B
𥓨,石一手,ufp,石一手,ufp,CJK-B
𥓩,石土石,ugu,石土石,ugu,CJK-B
𥓪,石土土,ugg,石土土,ugg,CJK-B
𥓫,石至刂,uhx,石至刂,uhx,CJK-B
𥓬,至刂石,hxu,至刂石,hxu,CJK-B
𥓭,石𠂤十,ugd,石𠂤十,ugd,CJK-B
𥓮,石勹缶,uhq,石勹缶,uhq,CJK-B
𥓯,石亠方,uoi,石二方,upi,CJK-B
𥓰,石穴弓,uhn,石宀弓,uhn,CJK-B
𥓱,石巛止,upt,石巛止,upt,CJK-B
𥓲,石巛田,upn,石巛田,upn,CJK-B
𥓳,石彳皮,uvt,石彳皮,uvt,CJK-B
𥓴,石方夊,uie,石方夊,uie,CJK-B
𥓵,石广丶,upo,石广一,upf,CJK-B
𥓶,石夊田,uen,石夊田,uen,CJK-B
𥓷,石广人,upr,石广人,upr,CJK-B
𥓸,石衤彡,uns,石衤彡,uns,CJK-B
𥓹,石卄夫,usl,石卄夫,usl,CJK-B
𥓺,予丿石,cwu,予丿石,cwu,CJK-B
𥓻,石乂夊,uce,石乂夊,uce,CJK-B
𥓼,石匚木,ukf,石匚木,ukf,CJK-B
𥓽,石止木,utf,石止木,utf,CJK-B
𥓾,石千臼,uch,石千臼,uch,CJK-B
𥓿,石月,ush,石月,ush,CJK-B
𥔀,石勹言,uhu,石勹言,uhu,CJK-B
𥔁,石一田,ufn,石一田,ufn,CJK-B
𥔂,石忄一,uyf,石忄一,uyf,CJK-B
𥔃,石戊女,upo,石戊女,upo,CJK-B
𥔄,石臼土,uhg,石臼土,uhg,CJK-B
𥔅,石田,unu,石田,unu,CJK-B
𥔆,石囗人,udr,石囗人,udr,CJK-B
